name,describe
green lentil dessert fudge,dessert vegetarian whole moong beans cow ghee raisins whole milk jaggery organic ground cardamom almonds halved
grilled almond barfi,dessert vegetarian khoya sweetener optional almonds crushed
grilled kasundi honey chicken sweet potato mash,indian nonvegetarian chicken breast kasundi bengali mustard sauce sweet potato red yellow capsicum broccoli garlic buds refined oil salt butter cream green onion honey ginger garlic paste
grilled lemon margarita,beverage vegetarian vanilla infused tequila vanilla liqueur lemon juice lemon lemon
half roast chicken,healthy food nonvegetarian cooking oil whole chicken skin rinsed dressed onions quartered skin garlic halved skin carrots roughly quartered celery thyme dunkleweizen pour glass keep open room temperature hour two make flat chicken stock butter sea salt
hassel back sweet potatoes,healthy food vegetarian sweet potatoes butter brown sugar pure vanilla extract ground cinnamon himalayan pink salt rock salt
hawaiin papaya salad,healthy food vegetarian papaya fresh lime juiced watermelon balls small squares seedless fresh pineapple chunks coconut unsweetened vanilla flavoured yogurt low fat
holi special bhang pakode,indian vegetarian besan potato fresh bhang leaves spinach bhang seed powder ajwain fresh green chilly salt tamarind paste red chilly powder mustard seeds whole red chilli soda
holi special ice tea thandai,beverage vegetarian ground white pepper kali mirch assam tea bags almonds badam coarsley crushed poppy seeds khus khus fennel seeds saunf crushed coarsely cardamom elaichi powder ground sugar saffron kesar strands
holi special malai kofta,indian vegetarian potatoes paneer cottage cheese maida coriander leaves chopped onion ginger garlic paste tomatoes malai cream raisins cashew nuts cashew nuts paste haldi red chilli powder kitchen king masala kasuri methi dry fenugreek salt sugar
homemade gulab jamun,dessert vegetarian sugar water milk cardamom seeds saffron cardamom powder khoya baking soda maida milk
hot chocolate,beverage vegetarian milk chocolate cocoa powder powdered sugar cinnamon vanilla
instant rava dosa,indian vegetarian rava suji semolina rice flour purpose flour fresh coconut pieces jeera green chilli dhaniya onion diced salt water oil ghee clarified butter
jalapeno cheese fingers,mexican vegetarian yellow cornmeal sugar baking soda salt buttermilk well shaken egg cheddar extra sharp scallion white pale green parts pickled jalapenos drained unsalted butter
jalebi fennel yogurt pudding,dessert vegetarian purpose flour yogurt oil sugar water saffron green cardamom yogurt strained milk warm sugar nutmeg cardamom powder
japanese curry arancini barley salsa,japanese vegetarian japanese curry sticky rice cheese inside rice barley salsa wasabi mayo red capsicum cube cut yellow capsicum cube cut green capsicum cube cut green chili barley butter white pepper light soya salt
japanese fish stew,japanese nonvegetarian sole fillet also 2 3 types fish large shrimps optional potatoes peeled onions cut slices garlic cloves red capsicum use green also parsley coriander choose herb suits taste buds dashes hot sauce paprika olive oil white wine rock salt
jerk chicken,indian nonvegetarian chicken legs lime halved jerk seasoning powder bottled jerk seasoning paste bottled olive oil
kale channe ki biryani,indian vegetarian black gram kala chana basmati rice soaked 2 hours cinnamon green cardamoms cloves ghee black cardamoms black peppercorns bay leaves onions green chillies slit ginger garlic paste coriander powder turmeric powder yogurt fresh mint leaves fresh coriander leaves garam masala powder red chilli powder salt cashew nuts almonds milk fresh cream saffron ginger screw pine essence kewra browned onions whole wheat flour dough
kasha bread,french vegetarian kasha boiling water buckwheat flour purpose gluten free flour brown sugar baking powder baking soda xanthum gum salt buttermilk cream egg oil walnuts
kerala fish curry,indian nonvegetarian white fish cut cubes onion tomato garlic cloves fresh green chillies deseeded oil fresh coconut paste red chilli paste coriander powder turmeric powder salt whole dry red chillies black mustard seeds curry leaves tamarind extract water
khichdi,indian vegetarian quick cooking oats peanuts cumin turmeric powder red chilli powder onion tomatoes carrots green peas ginger green chillies salt extra virgin olive oil water coriander leaves
koldil chicken,chinese nonvegetarian made banana flower; assamese specialty
kolim jawla,indian vegetarian dried fish named kolim jawla found coastal maharashtra onion spices. usually eaten bhakri chapati
kuttu atta pizza,italian vegetarian kuttu atta salt sugar yeast mozzarella cheese fresh tomato basil cottage cheese green chillies olive oil salt black pepper crushed oregano
lamb chargrilled bell pepper soup,healthy food nonvegetarian lamb bones preferably shank shoulder onions celery ginger garlic carrot chargrilled red yellow green bell peppers quartered whole spices mix black pepper cinnamon cardamom clove bay leaf salt water warm oil sunflower olive
lamb barley pot,healthy food nonvegetarian pot barley onions worcestershire sauce chilli flakes mustard seeds thick mutton chunks thick neck lamb chops water stock cover salt black pepper freshly ground
lamb korma,indian nonvegetarian onions almond paste ghee cinnamon sticks green cardamom cloves mace bay leaves garlic paste ginger paste lamb salt rose water infused 4 5 strands saffron yellow chilli powder yogurt yellow chilli powder black pepper powder coriander seed powder cumin powder red chilli powder turmeric powder clove powder green cardamom powder rose petal powder nutmeg powder black cardamom powder fennel powder cinnamon powder mace powder onions cream malai
lamb rogan josh,french nonvegetarian lamb chops stewing lamb vegetable oil cassia bark cinnamon stick bay leaves green cardamoms onions garlic cloves butter turmeric chilli powder ground cumin ground coriander tomato puree salt garam masala lemon juice
lemon honey glazed sous vide corn cob,snack nonvegetarian young corn cob honey lemon juice garlic cloves smashed celery stalk chives carrot salt paprika powder parsley plastic bag food thermometer
lemon poppy seed cake,dessert vegetarian plain flour baking powder salt castor sugar baking soda eggs butter vanilla essence lemon juice poppy seed lemon peel serve: lemon syrup whip cream fresh berry
lemon poppy seed cake,dessert vegetarian flour baking powder salt castor sugar baking soda eggs butter vanilla essence lemon juice poppy lemon peel lemon syrup wiped cream fresh berry
lemon rice,indian vegetarian cooked basmati rice oil asafoetida heeng mustard seeds sarson curry leaves kadhi patta whole red chilli sabut laal mirch turmeric powderhaldi salt lemon juice peanuts urad dal chana dal ginger
lemon sushi cake,dessert vegetarian vanilla pre mix gel oil water egg yolks lemon juice sugar butter white chocolate cooking cream milk
lotus leaf wrapped fried rice,chinese vegetarian jasmine rice baked edamame beans mock meat shitake mushroom spring onion dark soy sauce sunflower oil salt
malabar fish curry,indian nonvegetarian whole coriander seeds whole red chilli coconut oil mustard seeds onion curry leaf coconut milk tamarind pulp coriander seabass fish curry cuts
malabari fish curry,indian nonvegetarian sear fish coconut ginger pureed tamarind salt powdered turmeric green chillies red chilli powder shallots
matcha tea macarons,dessert vegetarian egg whites breakfast sugar icing sugar almond powder matcha powder heavy cream white chocolate
meat lovers pizza,italian nonvegetarian millet flour tapioca flour soy milk garlic powder baking powder salt tomato sauce mozzarella cheese prosciutto pepperoni chicken salami salami milano rosemary olive oil
methi chicken masala,indian nonvegetarian boneless chicken lemon juice red chilli powder salt ginger garlic paste curd red chilli powder salt coriander powder oil onion oil bay leaf green cardamom black cardamom cinnamon ginger garlic paste tomato kasoori methi green chilli water
methi malai cranberry chicken,indian nonvegetarian chicken sliced ??into large pieces salt cranberry puree red chilli powder garam masala coriander powder cumin powder chaat masala corn flour fenugreek leaves gram flour ginger garlic cream greek yogurt butter
mexican pizza,mexican vegetarian dough tortia refried beans bell paper spring onion lettuce mozzarella cheese orange cheddar cheese chitpole dressing pico de chelo tomato onion lemon juice salt green chilli coriander black beans boiled tomato onion vine paper vegetable oil
microwave chicken steak,healthy food nonvegetarian chicken breasts boneless eggs slightly whisked ginger paste garlic paste onions coriander leaves green chillies black pepper powder flour vinegar salt oil
microwave chocolate cake,dessert vegetarian flour castor powdered sugar oil butter margarine cocoa powder water vanilla essence baking soda baking powder salt egg
microwave tandoori chicken,indian nonvegetarian chicken sliced garlic paste ginger paste hung curd salt garam masala coriander powder pepper powder cream oil garnishing: lemon pieces onion rings
mix fruit laccha rabri tortilla crunch,mexican vegetarian milk sugar cardamom powder saffron almonds pistachios grapes apple kiwi orange pomegranate mint leaves tortilla sheet oil
mixed beans salad,healthy food vegetarian mixed boiled beans choose rajma chawli chick peas hara chana spring onions tomatoes diced oil lemon juice basil garlic salt pepper garnish: coriander
mixed berry & banana smoothie,healthy food vegetarian frozen mixed berries ripped banana fresh orange juice low fat curd
mixed salad lotus root,healthy food vegetarian iceberg lattoos lolo rosso endive lettuce red cabbage lotus root kaddu yam beans small onions pomegranate chalet oil pomelo lemongrass sauce
mixed vegetable soup,healthy food vegetarian mix vegetable tomatoes carrots peas french beans salt cumin powder oil curry leaves
moong dal kiwi coconut soup,indian vegetarian green gram dhuli moong dal kiwis coconut cream oil bay leaves cumin seeds coriander seeds black peppercorns garlic cloves medium onion carrot turmeric powder curry powder salt fresh coriander sprigs
mother christmas cake,dessert vegetarian tart apples 2 large sugar apple juice eggs vegetable oil vanilla extracts purpose flour apple pie spice cinnamon salt pecans candied red cherries halved candied green cherried halved candied pineapple diced cashews optional
mushroom matar,indian vegetarian mushroom peas masala chili sauce
mustard parmesan whole roasted cauliflower,healthy food vegetarian cauliflowers garlic halved olive oil dijon mustard kosher salt freshly ground black pepper fresh parsley leaves parmesan lemon wedges
oats shallots pulao,healthy food vegetarian rice green coriander green chillies onion cinnamon cardamom cloves red chilli powder salt garlic flakes ginger chalet olive oil
orange quinoa sevaiyan,healthy food vegetarian sevaiyan quinoa orange juice dried figs sugar almond milk desi ghee jaggery walnuts melon seeds peanuts
oyster lamb,thai nonvegetarian vegetable oil garlic ginger lamb stock oyster sauce dry sherry sugar celery salt bokchoy shitake mushroom
pan seared thigh chicken,mexican nonvegetarian chicken thai salt pepper lemon fresh thyme barley brockley mushroom extra virgin olive oil cherry tomato
pasta cheese sauce,italian vegetarian milk flour butter pepper powder nutmeg cheese pasta choice
peach raspberry nuts smoothie,healthy food vegetarian fresh raspberries ripe banana almond fresh peach slices low fat yogurt fresh raspberry peach fruit slices almonds
peri peri chicken satay,snack nonvegetarian boneless skinless chicken thigh trimmed salt pepper yogurt chilli powder ginger garlic paste coriander leaves oil fry peri peri sauce potato fries
pesto fish kebabs,indian nonvegetarian king fish cut one inch pieces paprika cut one inch pieces bezel pasto white wine vinegar salt cooking spray
pista chocolate & mandarin,dessert vegetarian pistachios milk sugar broken rice green cardamom white chocolate milk egg yolks whipped cream vanilla pod mandarin sugar water
plum cherry roasted chicken,healthy food nonvegetarian carrot finely diced onion finely diced celery finely diced fresh thyme sprigs whole free range chicken pepper freshly ground parsley stems celery leaves lemon slices 1 8 inch thick onion carrot fresh lemon juice chicken stock broth plums cut fresh cherries
plum cake,dessert vegetarian oven temp: 150 c 300 f butter sugar eggs almonds vanilla essence mixed fruits sultanas raisins candied peels cherries refined flour
prawn litchi salad,healthy food vegetarian prawns shelled cleaned spring onions mango flesh litchis deseeded chilli flakes lemon lemon juice olive oil peanuts garnish salt
prawn fried rice,thai vegetarian oil bacon prawns chicken carrots garlic buds ginger spring onion sweet chili sauce soy sauce salt pepper sweet corn vinegar baked rice green coriander
prawn potato soup,thai vegetarian onion potato prawns eggs milk butter coriander salt water
puffed rice,snack vegetarian grain made rice; usually made heating rice kernels high pressure presence steam though method manufacture varies widely. pori puffed rice mentioned various tamil literatures offering hindu deities. offerings pori jaggery made vinayagar lord ganesh mentioned tiruppugazh 15th century anthology tamil religious songs written tamil poet arunagirinathar. pori offered hindu gods goddesses poojas south indian states kerala tamil nadu.
puffed rice squares,snack vegetarian puffed rice nuts honey jaggery butter kewda flavor cardamom powder
quick chicken curry,indian nonvegetarian chicken onion paste tomato garlic paste ginger paste coriander powder cumin powder turmeric powder red chilli powder garam masala powder oil salt green coriander
quinoa coconut crumble custard,dessert vegetarian knoia cooked oats cinnamon powder salt brown sugar jaggery nuts coconut nuts eggs kinoia coconut milk maple syrup vanilla extract cinnamon powder salt honey
ragi coconut ladoo laddu,dessert vegetarian finger millet flour ragi jaggery peanuts coconut salt
ragi oats ladoo laddu,dessert vegetarian ragi flour oats flour dates ripe milk honey ghee green cardamom powder white sesame seeds coconut powder cashew nuts
red rice,healthy food vegetarian riety rice.
red rice poha,indian vegetarian onion pepper button mushroom wild mushroom white wine tomato sage leaf red poha truffle oil rosemary
red rice vermicelli kheer,indian vegetarian red rice vermicelli broken sooji semolina vermicelli butter almonds whole milk cardamom powder saffron strands thread sugar
red velvet banana pudding,dessert vegetarian one sweetened condensed milk ice cold water instant vanilla pudding mix cream cheese softened cut 8 pieces heavy cream one 9 x 13 inch layer red velvet cakcake ripe bananas mini chocolate chips sugar cocoa cake flour baking soda salt butter room temp cut 1 inch pieces eggs milk sour cream cider vinegar vanilla extract red food coloring purpose flour milk unsalted butter room temperature sugar vanilla extract
red wine braised mushroom flatbread,italian vegetarian olive oil fresh buffalo mozzarella cheese canned pelati tomatoes cooked pizza flatbread base mushrooms red wine parsley garlic cloves halved salt
restaurant style fried chicken,chinese nonvegetarian egg salt white pepper maida salt red chilli powder garlic powder ginger powder onion powder oregano chillil flakes white pepper basil chicken drumsticks salt white pepper bread crumbs required
rice,indian vegetarian boiled rice
rice lamb stock,thai nonvegetarian rice desi ghee big cardamom bay leaf cinnamon stick fennel onion lamb bonz royal cumin cashew cream green cardamom powder salt water
rice kheer,indian vegetarian milk rice washed sugar raisins green cardamoms almonds shredded
risotto lobster parmesan egg pancake confit tomatoes coral tuille,italian nonvegetarian lobster shell carrot leeks garlic cloves tomato paste bay leaf peppercorn water lobster meat arborio rice onion leeks lobster stock parmesan cheese cream salt olive oil egg parmesan flour milk parsley salt cherry tomatoes garlic pods olive oil water oil flour salt
roast turkey cranberry sauce,healthy food nonvegetarian whole turkey butter onion celery crumbled sage thyme salt pepper garlic minced balsamic vinegar sugar cranberry
roasted spring chicken root veggies,healthy food nonvegetarian whole chicken thyme garlic lemon orange salt black pepper butter rub extra olive oil carrot turnip beetroot chipotle powder parsley
saewoo bokumbop shrimp fried rice,japanese vegetarian cooked rice shrimp de veined onion cooked green peas green onion egg scrambled vegetable oil butter soy sauce sesame oil salt pepper
sali boti parsi meat dish,indian nonvegetarian mutton wash cut small cubes ghee oil tomatoes onions green chillies coriander leaves chilli powder turmeric powder ginger garlic paste water vinegar jaggery salt potatoes oil
seafood rock filler,french vegetarian baked tart mixed sea food served phyllo fruit bowl savory tart shell semi baked mixed sea food mornay sauce assorted herb seasoning phyllo pastry assorted seasonal fruit
seared salmon tabasco butter,thai nonvegetarian butter tabasco chives salt salmon fillet olive oil sea salt
shepherds salad tamatar kheera salaad,healthy food vegetarian 1 cucumber peeled chopped onion tomato green chillies garlic buds pasarley olive oil lemon juice salt pepper
shiitake fried rice water chestnuts,chinese vegetarian shitake mushrooms vegetable oil garlic buds green chillies water chestnuts onions leaks celery ginger sesame oil rice baked white chillies salt rice wine vinegar green onions small bunch pasarley sesame oil
shrimp & cilantro ceviche,french vegetarian prawns gherkin onion cilantro mix bell pepper tiger milk sweet corn sea salt black pepper green lemon juice cherry tomato edible flower coriander stems celery stalks garlic ginger red onion lemon juice sea salt black pepper
slow cooked spiced sangria,mexican vegetarian red wine merlot zinfandel apple cider honey orange zested juiced cloves whole green cardamom cinnamon sticks anise whole brandy
sous vide salmon tikka,french nonvegetarian norwegian salmon black garlic pickle butter butchery bag smoked yogurt home made prawn crisp edible flower salt
southern fried chicken tenders,snack nonvegetarian chicken breast cut 20 strips 20 grams purpose flour salt hot red chillies eggs bread crumbles white cabbage slaw pasarley sprig honey mustard dip green bell pepper
soya milk,beverage vegetarian soybean hot water
spaghetti clams & crispy bread crumbs,italian vegetarian panko 1 4 cup plus 1 tablespoon extra virgin olive oil plus drizzling kosher salt freshly ground pepper garlic cloves manila clams cockles scrubbed dry white wine spaghetti lemon zest lemon juice mullet bottarga optional; see note red pepper thyme rosemary parsley
spanish artichoke spinach dip,mexican vegetarian spinach onion cream garlic nutmeg salt lime juice artichoke hearts cubed polenta refined flour salt water butter flour salt pepper freshly ground
spanish fish fry,mexican nonvegetarian sol fish tomato onion lemon juice olive oil ginger garlic paste bay leaves cinnamon stick green chillies vinegar salt water
spiced almond banana jaggery cake,dessert vegetarian butter cinnamon molasses powder nutmeg powdered almonds sugar eggs orange peel banana flour baking soda baking powder salt buttermilk powdered cinnamon
spiced coffee,beverage vegetarian freshly ground coffee cardamom powder ginger milk sugar cream chocolate
spiced orange valencia cake,dessert vegetarian egg whites egg white powder sugar almond powder hazelnut powder sugar hazelnut toasted
spicy chicken curry,indian nonvegetarian oil ghee onion paste garlic paste ginger paste turmeric powder salt tomato puree coriander powder red chilli powder cumin powder garam masala chicken leg pieces coriander leaves water
spicy chicken masala,indian nonvegetarian mustard oil curry leaves kalonjee saunf garlic onion tomatoes ginger green chillies boneless chicken salt tomato puree red chilli powder cumin powder black salt peppercorn crushed water mint coriander
spicy creamy kadai chicken,indian nonvegetarian chicken ginger garlic paste pepper powder lime juice oil salt tomatoes green chillies ginger garlic paste chilli powder black cardamoms cloves water onion ginger green chillies chilli powder turmeric powder garam masala kasturi methi cream
spicy watermelon soup,healthy food vegetarian watermelon ginger garlic paste peppermint chili flakes olive oil cook
spinach & banana pancakes,healthy food vegetarian rolled oats milk spinach banana egg cinnamon powder vanilla extract baking powder
spinach feta crepes,french vegetarian milk whole fat skimmed flour water butter honey salt vegetable oil extra butter crisping crepe spinach feta cheese crumbled greek yogurt whisked honey
steam bunny chicken bao,japanese nonvegetarian buns purpose white flour dry yeast sugar salt warm water chicken mince eggs soy sauce sugar sesame oil worcestershire sauce chives aromat powder
steam bunny chicken bao,japanese nonvegetarian buns flour dry yeast sugar salt hot water chicken mince eggs soy sauce sugar sesame oil worcestershire sauce chives aromat powder
steamed chicken roulade,french nonvegetarian lamb mince garlic salt paprika powder pomodaro tomatoes olive oil celery shallots carrot black pepper bay leaf yellow chilli powder cilantro chicken thigh salt white pepper powder garlic paste white wine vinegar olive oil yellow chilli powder refined oil fenugreek seeds white pepper powder garlic fenugreek leaves onion broken cashew salt fresh cream kasoori methi
sticky rum chicken wings,snack nonvegetarian chicken wings without skin hung curd chilli powder sweet paprika powder english mustard paste garlic paste salt garlic rum bbq sauce
strawberry & pistachio breton tart,dessert vegetarian plain flour baking powder sea salt unsalted butter egg yoks castor sugar double cream yolk sugar gelatine butter pistachio paste strawberry
strawberry quinoa pancakes,healthy food vegetarian quinoa milk olive oil egg slightly beaten baking powder orange essence castor sugar maple syrup strawberries garnish
sugar free modak,japanese vegetarian seedless dates almonds cashew nuts walnuts raisins dry coconut poppy seeds ghee
summer squash salad,healthy food vegetarian white balsamic vinegar lemon juice lemon rind red chillies garlic cloves crushed olive oil summer squash zucchini sea salt black pepper basil leaves
sunga pork,japanese vegetarian curry
surmai curry lobster butter rice,thai vegetarian tamarind red chilli powder turmeric powder salt fresh coconut onion garlic cloves coriander seeds fenugreek seeds red chilli powder turmeric powder tamarind lemon sized butter lobster de shell devein make small cube salt lime surmai
sweet chilli almonds,snack vegetarian almonds whole egg white curry leaves salt sugar fine grain red chilli powder
sweet potato quinoa bowl,healthy food vegetarian sweet potato cubes coconut onion knoia ripe raisins cashew pepper powder caen cassia salt
sweet potato pie,dessert vegetarian yams red skinned condensed milk sugar egg cinnamon marshmallows
tandoori chicken,indian nonvegetarian dish originated punjab independence india pakistan.
tandoori fish tikka,indian nonvegetarian chickenn lime ginger cooked open fire.
thai fish curry,thai nonvegetarian fish cubed thai green curry paste oil onions garlic ginger galangal coconut milk coriander lemon juice palm sugar basil leaves salt & pepper
thai lamb balls,thai nonvegetarian lamb minced couscous scallion garlic egg parsley olive oil mint ao nori herb salt five spice cinnamon powder
thai pineapple rice,thai vegetarian rice onion thai ginger fresh turmeric curry leaf lemon grass coconut milk salt hot curry powder pineapple chunks oil water turmeric powder fresh pineapple
thai prawn curry & baked rice,thai vegetarian jeera whole coriander seeds kashmiri chilly garlic ginger green chillies kokum coconut onion tomatoes coriander prawns salt turmeric powder garlic paste asafoetida refined oil ginger paste goan rice coconut milk green chillies fresh coconut hing refined oil coriander leaves basmati rice coconut milk green chillies coconut milk coconut salt green chillies curry leaf lecite
thai style chicken tikka,thai nonvegetarian chicken thais thai ginger lemon leaves lemongrass coconut milk powder refined oil red curry paste peanut butter bezel leaves lotus stem yellow butter chaat masala
tricolour pizza,italian vegetarian pizza base pizza sauce mozzarella cheese black olive green capsicum carrots olive oil
tricolour salad,healthy food vegetarian vinegar honey sugar soy sauce salt garlic cloves minced chilli pepper sliced green papaya carrot peeled cucumbers mint leaves toasted peanuts
veg fried rice,chinese vegetarian oil ginger garlic paste spring onion carrot cabbage capsicum salt soy sauce vinegar rice
veg hakka noodles,chinese vegetarian noodles salt oil garlic paste ginger paste beans cabbage carrot spring onion capsicum soy sauce green chilli sauce tomato sauce
veg summer rolls,thai vegetarian rice paper sheets iceberg lettuce carrot bean sprouts cucumber tofu basil mint leaves coriander rice noodles soaked warm water 20 25 minutes peanuts hoisin sauce peanuts garlic oil red chillies water
vegetable biryani,indian vegetarian cumin onion ginger garlic mix vegetable coriander powder garam masala turmeric powder salt red chilli powder green chillies lemon juice steamed rice green coriander
vegetable bruschetta,italian vegetarian baguette grilled slices black olive tapenade artichoke hearts lettuce arugula trummed tomato confit fresh basil leaves mint leaves zucchini goat cheese parmesan cheese shavings mozzarella buffalo cheese
vegetable manchurian,chinese vegetarian mixed vegetables chopped fine grated eggs slightly beaten refined flour garlic paste ginger paste water oil garlic onions capsicum cornflour blended water vinegar salt soya sauce tomato puree celery ajinomoto optional water
vegetable pulao,indian vegetarian water basmati rice ghee paneer cooked carrot beans peas elaichi cardamoms cinnamon bay leaves cumin seeds chilli powder turmeric salt coriander leaves
vegetable som tam salad,healthy food vegetarian raw papaya carrot french bean diamond cherry tomato garlic crush mix chilli somtam dressing peanuts crushed peanuts
watermelon strawberry smoothie,healthy food vegetarian fresh strawberries honey low fat yogurt watermelon chia seeds
white chocolate lemon pastry,dessert vegetarian white chocolate fresh cream vip cream vanilla bean vanilla extract cream cheese gelatin lemon egg yolks butter castor sugar
whole wheat cake,healthy food vegetarian oven temperature wheat flour jaggery sugar baking powder oil eggs water almond essence walnuts
wok tossed asparagus mild garlic sauce,healthy food vegetarian asparagus 1 fried onion medium 1 2 tsp breakfast sugar 10 ml potato starch 20 ml stock vegetarian 20 gm porcini salt taste 50 ml oil
zucchini methi pulao,indian vegetarian zucchini basmati rice fenugreek methi clarified butter desi ghee clarified butter desi ghee cumin seeds jeera asafoetida heeng green chilles ginger salt
